ciiu;personal_mujer;personal_hombre;gasto_personal;gasto_financiero;costos_gastos_produccion;gastos_adm_ventas;inversion_AF;ventas
2100;88;58;3603312;2376818;4245951;4016510;564443;17217444
2011;30;41;2727845;895252;523949;16838986;9146364;11434553
3110;15;97;4034848;663606;1602374;8786093;75594;7735460
2029;22;129;21397321;27475735;27948244;225053156;22007282;233432780
2029;22;129;21397321;27475735;27948244;225053156;22007282;233432780
2221;14;153;8006475;547610;1702265;3416448;3852212;51505468
1811;90;109;6226527;617290;2445324;4901115;367864;34525436
3120;178;287;17866421;1025379;2514217;34162884;1244431;79861793
3120;87;119;4612212;747562;3087221;12801786;9667;37870585
3120;178;287;17866421;1025379;2514217;34162884;1244431;79861793
1410;1295;476;39616375;7762663;37712592;156537679;20016277;192616300
1410;239;136;6703994;1266733;1333344;31621952;475856;36684369
1399;92;342;19776408;780189;7323116;12200533;7075724;88052658
1513;235;155;13764360;1008339;3709458;113774794;7426174;19113344
1399;92;342;19776408;780189;7323116;12200533;7075724;88052658
1399;92;342;19776408;780189;7323116;12200533;7075724;88052658
1430;402;101;11002358;672627;1984055;8112742;875513;31058660
1391;117;108;6037085;696337;2679166;2988032;68696;18034746
1430;402;101;11002358;672627;1984055;8112742;875513;31058660
1089;705;1108;93083335;1983401;16337098;255998698;17784431;396766714
1089;137;371;32058205;831321;19218225;69770666;6072767;361162452
1089;705;1108;93083335;1983401;16337098;255998698;17784431;396766714
1104;146;419;38533922;4051108;14297404;67089243;23019658;488079500
1089;705;1108;93083335;1983401;16337098;255998698;17784431;396766714
1051;53;76;7556656;1857104;450890;7588700;1491882;44546506
1030;145;338;32021317;784348;6105660;50067725;7646912;222365928
1030;31;98;4744530;1927421;4131205;13444930;12057995;110167660
1030;145;338;32021317;784348;6105660;50067725;7646912;222365928
1030;145;338;32021317;784348;6105660;50067725;7646912;222365928
1030;24;216;10452555;1081651;2972376;9346447;1623736;183083874
1040;147;594;29649562;8305601;15587706;63787489;5502328;566590154
1040;147;594;29649562;8305601;15587706;63787489;5502328;566590154
1040;147;594;29649562;8305601;15587706;63787489;5502328;566590154
1011;130;488;19218477;621090;11627445;10159803;15475375;164003166
3290;214;377;23104950;5485223;40417936;64778937;1462970922;199754812
1030;40;131;5653362;560066;2311908;4172735;878812;51836470
1030;78;159;10269828;691224;1383303;21014038;11619716;55727103
1081;13;92;2390254;675969;430647;2489225;816959;12748618
1081;13;92;2390254;675969;430647;2489225;816959;12748618
2029;22;129;21397321;27475735;27948244;225053156;22007282;233432780
2021;28;113;14001910;8686016;21059732;39430597;25150313;379365700
1051;36;140;9352991;3240559;6846304;22920307;4979745;192609248
2100;413;513;53933736;893326;12170969;64099895;7873975;287534695
2100;413;513;53933736;893326;12170969;64099895;7873975;287534695
2029;119;310;35619346;511307;21812080;113654903;6298885;355534251
1030;24;216;10452555;1081651;2972376;9346447;1623736;183083874
