edad;sexo;cabeza_de_hogar;caracterizacion_ciudadano;tipo_de_emprendimiento;idea_de_negocio;estrato;barrio_vereda_ciudadano;comuna_ciudadano;zona_ciudadano;fecha_de_beneficio_dia;fecha_de_beneficio_mes;"fecha_de_beneficio_año"
56;femenino;si;emprendedor;artesanal;emprendedor;3;francisco antonio zea;5;nor-occidental;15;9;2017.0
69;femenino;si;emprendedor;artesanal;emprendedor;3;boston;8;centro-oriental;15;9;2017.0
45;femenino;no;emprendedor;artesanal;emprendedor;3;francisco antonio zea;5;nor-occidental;15;9;2017.0
52;femenino;si;emprendedor;artesanal;emprendedor;2;enciso;8;centro-oriental;15;9;2017.0
37;femenino;si;emprendedor;artesanal;emprendedor;2;corregimiento san cristobal;60;occidente;15;9;2017.0
52;femenino;si;emprendedor;artesanal;emprendedor;3;villahermosa;8;centro-oriental;15;9;2017.0
67;femenino;si;emprendedor;artesanal;emprendedor;5;calazanz;12;centro-oriental;15;9;2017.0
33;masculino;si;emprendedor;artesanal;emprendedor;3;francisco antonio zea;5;nor-occidental;15;9;2017.0
52;femenino;si;emprendedor;artesanal;emprendedor;3;manrique;3;nor-oriental;15;9;2017.0
37;masculino;si;emprendedor;artesanal;emprendedor;3;miraflorez;9;centro-oriental;15;9;2017.0
53;femenino;no;emprendedor;artesanal;emprendedor;2;colinas de enciso;8;centro-oriental;15;9;2017.0
53;femenino;si;emprendedor;artesanal;emprendedor;3;robledo;6;nor-occidental;15;9;2017.0
68;masculino;no;emprendedor;artesanal;emprendedor;5;simon bolivar;12;centro-oriental;15;9;2017.0
52;femenino;no;emprendedor;artesanal;emprendedor;3;corregimiento santa helena;90;oriente;15;9;2017.0
26;femenino;no;emprendedor;artesanal;emprendedor;6;poblado;14;sur-oriental;15;9;2017.0
40;femenino;no;emprendedor;artesanal;emprendedor;1;nuevo occidente san cristobal;60;occidente;15;9;2017.0
60;femenino;si;emprendedor;artesanal;emprendedor;3;san miguel;8;centro-oriental;15;9;2017.0
70;masculino;si;emprendedor;artesanal;emprendedor;3;floresta los alcazares;13;centro-oriental;15;9;2017.0
65;masculino;no;emprendedor;artesanal;emprendedor;2;villahermosa;8;centro-oriental;15;9;2017.0
42;masculino;si;emprendedor;artesanal;emprendedor;3;robledo;7;nor-occidental;15;9;2017.0
40;masculino;si;emprendedor;artesanal;emprendedor;3;sucre;10;centro-oriental;15;9;2017.0
72;femenino;no;emprendedor;artesanal;emprendedor;5;velodromo;11;centro-oriental;15;9;2017.0
34;masculino;no;emprendedor;artesanal;emprendedor;2;santa helena - vereda paisandú;90;oriente;15;9;2017.0
56;femenino;si;emprendedor;artesanal;emprendedor;3;belen san bernardo;16;sur-oriental;15;9;2017.0
57;masculino;si;emprendedor;artesanal;emprendedor;4;santa monica;12;centro-oriental;15;9;2017.0
37;femenino;no;emprendedor;artesanal;emprendedor;2;santa helena - el charrascal;90;oriente;15;9;2017.0
43;femenino;no;emprendedor;artesanal;emprendedor;3;campovaldes;4;nor-oriental;15;9;2017.0
63;femenino;si;emprendedor;artesanal;emprendedor;4;buenos aires;9;centro-oriental;15;9;2017.0
33;masculino;si;emprendedor;artesanal;emprendedor;1;caicedo sector la libertad;8;centro-oriental;15;9;2017.0
23;masculino;si;emprendedor;artesanal;emprendedor;2;niquitao;10;centro-oriental;15;9;2017.0
58;femenino;si;emprendedor;artesanal;emprendedor;1;villa mercedes colina de enciso;8;centro-oriental;15;9;2017.0
38;femenino;si;emprendedor;artesanal;emprendedor;2;centro;10;centro-oriental;15;9;2017.0
28;masculino;no;emprendedor;artesanal;emprendedor;5;laureles;11;centro-oriental;15;9;2017.0
62;femenino;no;emprendedor;artesanal;emprendedor;2;sucre parte alta;8;centro-oriental;15;9;2017.0
63;femenino;no;emprendedor;artesanal;emprendedor;2;robledo la campiña;7;nor-occidental;15;9;2017.0
