Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;ANTIOQUIA;ITAGUI-ANTIOQUIA;52468603;37885515;14583088;307910;9227606;5274343;210231;527666;706484;;;2699785;3097378;;;;;308891;212083;96808;;96808
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;846953;0;846953;314355;;671528;1813;-1973;485994;;;615;55801;;;;;430808;657529;-226721;;-226721
G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática;BOGOTA D.C.;BOGOTA D.C.;174689213;133140402;41548811;;;39356396;1181789;;1010626;;;5742685;2858679;;;;;3894632;1650627;2244005;;2244005
J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas;BOGOTA D.C.;BOGOTA D.C.;132273650;118843935;13429715;14049425;11422878;;13568136;;2488126;;;1266583;1154704;;;;;2600005;756648;1843357;;1843357
A0122 - Cultivo de plátano y banano;ANTIOQUIA;ENVIGADO-ANTIOQUIA;210968757;180116459;30852298;4545021;;13761705;1409194;;20226420;;;187845;1082048;;;;;19332217;7722934;11609283;;11609283
C2013 - Fabricación de plásticos en formas primarias;BOLIVAR;CARTAGENA-BOLIVAR;2233417806;1853935714;379482092;6796820;145593364;83117764;6253985;-5638582;145675217;;;168647589;;;;;;314322806;58481928;255840878;;255840878
C3250 - Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario);CUNDINAMARCA;CAJICA-CUNDINAMARCA;15121667;7044143;8077524;453453;3300995;2690056;1981199;;558727;;;;;;;;;558727;530742;27985;;27985
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;51351466;21346782;30004684;468941;12531080;7993056;2901;0;9946588;;;2139258;4606436;;;;;7479410;3440115;4039295;;4039295
G4799 - Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados;CUNDINAMARCA;TENJO-CUNDINAMARCA;55533700;35519158;20014542;1400065;;15888233;343918;;5182456;;;1791746;2889961;229447;;;;3854794;2022784;1832010;;1832010
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;BOGOTA D.C.;BOGOTA D.C.;0;5575443;-5575443;1593537;0;6660170;0;;-10642076;0;0;0;6902;0;0;0;0;-10648978;72448;-10721426;0;-10721426
J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);VALLE;CALI-VALLE;13973326;17467052;-3493726;1030545;3414093;1219043;18424;7509;-7107232;;;25326;134127;;;;;-7216033;799121;-8015154;;-8015154
J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas;BOGOTA D.C.;BOGOTA D.C.;162283;;162283;4983521;;;;;5145804;;;4715;;;;;;5150519;64523;5085996;;5085996
C2229 - Fabricación de artículos de plástico n.c.p.;CUNDINAMARCA;MADRID-CUNDINAMARCA;149855104;125594824;24260280;1503202;536696;8689760;639264;;15897762;;;8690;2609576;;;;;13296876;3882351;9414525;;9414525
C1811 - Actividades de impresión;VALLE;CALI-VALLE;12884437;9181202;3703235;2031182;1475106;1978295;56325;;2224691;;;;2263029;;;;;-38338;74895;-113233;;-113233
F4111 - Construcción de edificios residenciales;VALLE;BUGA-VALLE;7092645;5200232;1892413;55944;157311;700995;550330;;539721;;;;;;;;;539721;187696;352025;;352025
