edad;sexo;actividad;comuna
36;mujer;comercio;7
39;mujer;comercio;6
68;mujer;servicios;15
53;mujer;comercio;7
54;mujer;comercio;7
39;mujer;produccion;4
52;mujer;comercio;9
54;mujer;comercio;3
56;mujer;comercio;3
51;mujer;comercio;9
62;mujer;comercio;1
36;mujer;comercio;2
34;mujer;comercio;10
32;mujer;servicios;2
69;mujer;comercio;7
36;mujer;comercio;1
48;mujer;servicios;11
32;mujer;comercio;4
64;mujer;comercio;10
57;mujer;comercio;8
66;mujer;comercio;10
20;mujer;servicios;4
38;mujer;servicios;4
49;mujer;comercio;13
51;mujer;comercio;13
45;mujer;comercio;6
53;mujer;comercio;10
57;mujer;comercio;10
36;mujer;comercio;3
59;mujer;servicios;1
42;mujer;comercio;1
33;mujer;comercio;5
57;mujer;servicios;7
39;mujer;comercio;2
52;mujer;comercio;7
36;mujer;produccion;9
59;mujer;comercio;4
66;mujer;produccion;6
44;mujer;produccion;4
28;mujer;produccion;7
60;mujer;comercio;13
50;mujer;produccion;15
61;mujer;comercio;4
51;mujer;produccion;15
50;mujer;comercio;10
64;mujer;produccion;6
55;mujer;produccion;4
35;mujer;comercio;7
65;mujer;comercio;10
53;mujer;comercio;13
54;mujer;produccion;3
44;mujer;comercio;4
42;mujer;produccion;1
35;mujer;produccion;7
37;mujer;comercio;7
54;mujer;produccion;13
45;mujer;comercio;10
50;mujer;comercio;10
41;mujer;comercio;1
51;mujer;comercio;3
67;mujer;comercio;8
44;mujer;comercio;4
62;mujer;produccion;2
64;mujer;comercio;4
56;mujer;servicios;1
47;mujer;comercio;80
49;mujer;produccion;80
45;mujer;comercio;7
46;mujer;comercio;10
56;mujer;comercio;6
42;mujer;comercio;13
57;mujer;comercio;5
41;mujer;comercio;3
43;mujer;comercio;3
37;mujer;comercio;10
39;mujer;comercio;10
60;mujer;comercio;9
54;mujer;servicios;2
37;mujer;comercio;1
53;mujer;comercio;5
62;mujer;comercio;5
46;mujer;comercio;5
57;mujer;comercio;7
34;mujer;comercio;1
35;mujer;comercio;1
58;mujer;comercio;8
50;mujer;comercio;9
58;mujer;comercio;13
